Ticker,PE_Ratio,PB_Ratio,EV_EBITDA,EPS,ROE,ROA,Profit_Margin,Operating_Margin,Revenue_Growth,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Cash_Flow,Operating_Cash_Flow,Dividend_Yield,Market_Cap,Total_Revenue,Total_Debt,Last_Close,52W_High,52W_Low,Price_SMA20_Ratio,Price_SMA50_Ratio,Price_SMA200_Ratio,Price_EMA12_Ratio,Price_EMA26_Ratio,RSI,MACD,MACD_Signal,MACD_Hist,BB_Bandwidth,BB_PctB,Volatility_20D,Volatility_Full,Momentum_10D,Return_1M,Return_3M,Return_6M,Return_12M,Volume_Ratio,ATR_Pct,Dist_52W_High,Dist_52W_Low,OBV_Slope
AAPL,34.24208,45.04335,26.095,7.89,1.5202099,0.24377,0.27037,0.35374,0.157,0.183,102.63,0.974,0.845,9033812480.0,135471996928.0,0.38,3966403870720.0,435617005568.0,90509000704.0,270.1700134277344,288.35019153510143,192.41139491378883,1.021969930271538,1.0363754219095218,1.0626828458111943,1.00813187914007,1.0223042402330331,57.53499571444177,3.715196963237986,3.1083028444391716,0.6068941187988144,0.0969168652905398,0.7266884118226066,0.24150712634754007,0.2839319437731613,0.01403753651903732,0.09544665320063968,0.0545265843900023,0.006975059969113731,0.29127019138675375,0.7316122951480055,0.02123177752217553,0.055093404312705575,0.3877817351733459,553710.9022556263
MSFT,26.595238,8.067281,18.177,15.96,0.34390998,0.1486,0.39044,0.47094002,0.167,0.598,31.539,1.386,1.239,53640626176.0,14813499904.0,0.86,3154747064320.0,305453006848.0,123278000128.0,424.4599914550781,552.2420017670738,356.2799987792969,1.0569130773711508,1.0729280472587734,0.9078345383324684,1.0186526549825132,1.0456298754868854,61.77025651515752,10.750529567566844,7.572593421804489,3.177936145762355,0.23979560506357397,0.7373399518980436,0.2987164155577766,0.2455399135852945,0.03219685374026604,0.18247158892134352,-0.1166895675580105,-0.19810168210229231,0.0934387566184361,1.141985936944476,0.02400804849432319,0.2137085353751604,0.1897300908872475,15138290.751879698
NVDA,42.704082,32.33158,37.782,4.9,1.01485,0.08571,0.55603004,0.65024,0.0895,0.956,7.255,3.905,3.141,58128998400.0,102717997056.0,0.02,297780387840.0,215938007040.0,11411999744.0,209.25,216.8300018310547,104.05547701680861,1.0731869918580845,1.120731647294863,1.1399461619770215,1.0291985500946281,1.071373511715072,65.41837468311347,8.003502633564011,6.199757366453918,1.8037452671100933,0.25256485308207544,0.7897750457554799,0.2851485250938558,0.4850258889765056,0.052194927026049893,0.2668765654762988,0.09263427217568061,0.09286632864500481,0.924945366403565,0.8388934537954127,0.02820821371415835,0.03397812007577196,0.9215876019880336,-4090.30075188497
AMZN,31.464117,6.86681,19.757,8.36,0.22286,0.06928,0.108339995,0.10533,0.136,0.05,43.435,1.051,0.844,23793125376.0,139514003456.0,2.19,2828798525440.0,66730500096.0,178546999296.0,263.0400085449219,265.9100036621094,178.85000610351562,1.0882170129678732,1.183120066619775,1.1589781856908046,1.0413166393951232,1.0945771574399419,75.5108174889822,12.291305339514963,10.782417036241789,1.5088883032731744,0.2977268749131501,0.7963018135114847,0.2815721372586171,0.32221548769636593,0.058511100784393866,0.30898239631559654,0.08242465121130023,0.1589197124299465,0.40138525744065146,1.5179596171067273,0.024466218555551703,0.003598551932252107,0.42630957139449466,23929093.834586445
GOOGL,26.672256,10.186592,27.79,13.12,0.35705003,0.15427,0.32810003,0.31568,0.18,0.311,16.133,2.005,1.847,38088376320.0,14813499904.0,0.24,297780387840.0,402835996672.0,66995998720.0,349.94000244140625,355.7900085449219,147.32915702645502,1.0663895706203979,1.1209936118178427,1.2550084682448936,1.0327030907651031,1.0697204684814003,71.18888377017304,11.726096347543546,9.616342031769022,2.1097543157745235,0.21234247021294253,0.8126532838853231,0.24705777187112218,0.29273506628210033,0.038028024175078494,0.27948812592835925,0.04219018160292752,0.30135341806836274,1.186373549435409,1.416641655122747,0.023477264759561675,0.0011417306064552073,0.2650742798647562,7692931.052631511
META,24.331636,7.7925167,16.646,27.5,0.30238,0.16212,0.30084,0.41314998,0.238,0.107,39.164,2.599,2.423,23432374272.0,115799998464.0,0.31,1698509750272.0,200965996544.0,85080997888.0,669.1199951171875,794.3843975355859,520.260009765625,1.0394759003301588,1.0596366120763132,0.986439802451763,1.0097780987789178,1.0357190575437933,58.61546627355172,16.59671425646161,14.020072251781048,2.5766420046805614,0.24295861847263536,0.662479934148148,0.3338403740874324,0.35532817128608274,-0.0036630362876433667,0.24747378542452536,0.0014399248604584649,-0.1073238554681886,0.22095443910453452,1.2730169940688576,0.026720796291701276,0.1510234659820044,0.27276883589237044,7364971.278195485
TSLA,25.675741000000002,17.025164,17.82,1.08,0.04901,0.022330001,0.03946,0.04203,0.158,0.083,18.738,2.043,1.43,5251999744.0,16528000000.0,2.19,1400133779456.0,97878999040.0,15889999872.0,372.79998779296875,498.8299865722656,270.7799987792969,1.0046932911802067,0.9690007798800374,0.9278419615985015,0.988811278152116,0.9869140251513961,47.15924346997381,-0.7247836800691516,-1.9038840981621257,1.179100418092974,0.18920138052109847,0.5248057977551771,0.4418629140455807,0.26224286028851407,-0.04885833350592498,0.049313186990172925,-0.13595699444641746,-0.1759869662518443,0.3040435897074591,0.6617335476902031,0.03779933841224805,0.2389973379661643,0.35391312703591365,9330966.541353352
BRK-B,15.315077,0.0009533092,-2.125,7.195,0.09809,0.051090002,0.18029,0.32956,-0.007,-0.025,18.809,1.1465,0.7705,36799623168.0,45968998400.0,2.19,1025333329920.0,371443990528.0,135370997760.0,475.3800048828125,542.0700073242188,455.19000244140625,0.9998654019492901,0.9832741293676095,0.970412414143579,1.0031511822641046,0.9973109197927272,48.105286534221904,-2.775085145073035,-3.4603271815024406,0.6852420364294054,0.03856176479032441,0.4965095464006443,0.10598780341202854,0.17241933601174764,0.0027210203861852164,0.0015168777970508418,0.00399166759048476,-0.02600037341154717,-0.10464458752987871,0.7003888462749236,0.013023219739925884,0.1193404675193573,0.03543817396781572,-1381173.6842105289
JPM,14.789575,2.4088643,17.82,20.91,0.16465001,0.01272,0.33936,0.43051997,0.127,0.172,66.509,1.1465,0.7705,9033812480.0,14813499904.0,1.94,828635414528.0,173559005184.0,43889999872.0,309.25,334.1598441675407,233.88146850985436,1.0049922961447668,1.0363636656317394,1.0241942765931018,0.9987750793733203,1.012248701560534,55.259300376717256,4.121346673906487,4.413445700359365,-0.29209902645287755,0.08841924331077188,0.5564616474631006,0.195998118128281,0.25128643009600105,0.010852179922539435,0.09536829156771585,0.03345639756017292,0.02658149560611947,0.2962104072217317,0.9783044640604066,0.019682884877843688,0.0710597953628086,0.2887919908861896,1333337.5939849578
JNJ,26.313658,6.713421,16.904,8.64,0.26416,0.08424,0.21834,0.27408,0.099,-0.529,67.73,1.025,0.689,12511375360.0,22869999616.0,2.36,547280781312.0,96361996288.0,54987001856.0,227.35000610351562,251.7100067138672,142.1591699321315,0.9685513953490511,0.9508322300987029,1.1140660525973987,0.9869471622372037,0.9723930555157199,37.76668997610026,-3.447821504647038,-2.52695864825598,-0.9208628563910581,0.10704340604630959,0.2062069882441575,0.16580400239377235,0.17993260980398512,-0.04742947229344134,-0.06243556042178919,0.003682668728693499,0.20866942050409648,0.5042445541640649,0.9291499186957657,0.020105746740611122,0.08533147595512924,0.5966412218975753,-3760902.9323308356
