Ticker,PE_Ratio,PB_Ratio,EV_EBITDA,EPS,ROE,ROA,Profit_Margin,Operating_Margin,Revenue_Growth,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Cash_Flow,Operating_Cash_Flow,Dividend_Yield,Market_Cap,Total_Revenue,Total_Debt,Last_Close,52W_High,52W_Low
AAPL,34.24208,45.04335,26.095,7.89,1.5202099,0.24377,0.27037,0.35374,0.157,0.183,102.63,0.974,0.845,106312753152.0,135471996928.0,0.38,3966403870720.0,435617005568.0,90509000704.0,270.1700134277344,288.35019153510143,192.41139491378883
MSFT,26.595238,8.067281,18.177,15.96,0.34390998,0.1486,0.39044,0.47094002,0.167,0.598,31.539,1.386,1.239,53640626176.0,160506003456.0,0.86,3154747064320.0,305453006848.0,123278000128.0,424.4599914550781,552.2420017670738,356.2799987792969
NVDA,42.704082,32.33158,37.782,4.9,1.01485,0.51188,0.55603004,0.65024,0.732,0.956,7.255,3.905,3.141,58128998400.0,102717997056.0,0.02,5085821140992.0,215938007040.0,11411999744.0,209.25,216.8300018310547,104.05547701680861
AMZN,31.464117,6.86681,19.757,8.36,0.22286,0.06928,0.108339995,0.10533,0.136,0.05,43.435,1.051,0.844,23793125376.0,139514003456.0,,2828798525440.0,716923994112.0,178546999296.0,263.0400085449219,265.9100036621094,178.85000610351562
GOOGL,26.672256,10.186592,27.79,13.12,0.35705003,0.15427,0.32810003,0.31568,0.18,0.311,16.133,2.005,1.847,38088376320.0,164713005056.0,0.24,4233379446784.0,402835996672.0,66995998720.0,349.94000244140625,355.7900085449219,147.32915702645502
META,24.331636,7.7925167,16.646,27.5,0.30238,0.16212,0.30084,0.41314998,0.238,0.107,39.164,2.599,2.423,23432374272.0,115799998464.0,0.31,1698509750272.0,200965996544.0,85080997888.0,669.1199951171875,794.3843975355859,520.260009765625
TSLA,345.18515,17.025164,123.667,1.08,0.04901,0.022330001,0.03946,0.04203,0.158,0.083,18.738,2.043,1.43,5251999744.0,16528000000.0,,1400133779456.0,97878999040.0,15889999872.0,372.79998779296875,498.8299865722656,270.7799987792969
BRK-B,15.315077,0.0009533092,-2.125,31.04,0.09809,0.051090002,0.18029,0.32956,-0.007,-0.025,18.809,7.067,6.623,36799623168.0,45968998400.0,,1025333329920.0,371443990528.0,135370997760.0,475.3800048828125,542.0700073242188,455.19000244140625
JPM,14.789575,2.4088643,,20.91,0.16465001,0.01272,0.33936,0.43051997,0.127,0.172,,,,,,1.94,828635414528.0,173559005184.0,1311809994752.0,309.25,334.1598441675407,233.88146850985436
JNJ,26.313658,6.713421,16.904,8.64,0.26416,0.08424,0.21834,0.27408,0.099,-0.529,67.73,1.025,0.689,12511375360.0,22869999616.0,2.36,547280781312.0,96361996288.0,54987001856.0,227.35000610351562,251.7100067138672,142.1591699321315
V,29.143602,16.714584,20.113,11.49,0.60349,0.1936,0.51679003,0.67346,0.171,0.267,67.233,1.088,0.669,20974249984.0,22755999744.0,0.8,636993208320.0,43027001344.0,23975999488.0,334.8599853515625,373.33954825373667,293.8900146484375
UNH,28.00151,3.5691316,17.96,13.24,0.121759996,0.03783,0.02678,0.080469996,0.02,0.007,73.982,0.798,0.507,17687500800.0,23153000448.0,2.38,336710959104.0,449713012736.0,77917003776.0,370.739990234375,410.1835258700657,229.78581520843133
XOM,23.085075,2.491904,11.644,6.7,0.110810004,0.04902,0.089049995,0.09527001,-0.013,-0.11,18.936,1.153,0.764,12229749760.0,51969998848.0,2.66,642895052800.0,323904995328.0,50487001088.0,154.6699981689453,176.41000366210938,98.7297012111472
