,PC1_loading,PC2_loading,PC1_abs,PC2_abs
Operating_Cash_Flow,0.6787026361542745,0.4077196583503321,0.6787026361542745,0.4077196583503321
Market_Cap,0.3567779737305642,0.20301505590867974,0.3567779737305642,0.20301505590867974
Free_Cash_Flow,0.20940453670525924,-0.06458985782932417,0.20940453670525924,0.06458985782932417
Total_Revenue,0.20369683603272673,0.03356012208094334,0.20369683603272673,0.03356012208094334
MACD,0.1963260183056886,-0.3084373560224386,0.1963260183056886,0.3084373560224386
MACD_Signal,0.16804852529421907,-0.22707033511661434,0.16804852529421907,0.22707033511661434
PB_Ratio,0.15941765761103832,0.1500030526319977,0.15941765761103832,0.1500030526319977
OBV_Slope,0.1531665181541997,-0.1424528365450379,0.1531665181541997,0.1424528365450379
Quick_Ratio,0.13327969899893158,-0.18622789950284893,0.13327969899893158,0.18622789950284893
Return_1M,0.12066701329943193,-0.19745438487636346,0.12066701329943193,0.19745438487636346
Price_SMA50_Ratio,0.11783031754686173,-0.2048718786743765,0.11783031754686173,0.2048718786743765
MACD_Hist,0.11556645466942819,-0.2579343208778279,0.11556645466942819,0.2579343208778279
Total_Debt,0.11468088991731248,0.07171784957203166,0.11468088991731248,0.07171784957203166
ROE,0.11203209003448036,0.22647969651189037,0.11203209003448036,0.22647969651189037
Price_SMA20_Ratio,0.10029606351513584,-0.21184621334338763,0.10029606351513584,0.21184621334338763
Price_EMA26_Ratio,0.09875655057398333,-0.1925438045797003,0.09875655057398333,0.1925438045797003
Current_Ratio,0.08977573104134325,-0.20250028817332993,0.08977573104134325,0.20250028817332993
Dist_52W_Low,0.08900691845938995,-0.1248890899697493,0.08900691845938995,0.1248890899697493
EV_EBITDA,0.08749399607536956,-0.12061734301303186,0.08749399607536956,0.12061734301303186
Return_12M,0.08315034599195188,-0.11447051810441486,0.08315034599195188,0.11447051810441486
Price_EMA12_Ratio,0.08280342959943535,-0.19076674233543722,0.08280342959943535,0.19076674233543722
BB_Bandwidth,0.0826691203693046,-0.10991753039747801,0.0826691203693046,0.10991753039747801
RSI,0.07677977204502581,-0.13024612638092656,0.07677977204502581,0.13024612638092656
Dist_52W_High,-0.07170849432393357,0.07590073119826718,0.07170849432393357,0.07590073119826718
Momentum_10D,0.06974596835256541,-0.139639351905947,0.06974596835256541,0.139639351905947
Volatility_Full,0.06569510943549288,-0.12724871290335196,0.06569510943549288,0.12724871290335196
Debt_to_Equity,-0.06505609399507263,0.05206405343822004,0.06505609399507263,0.05206405343822004
Price_SMA200_Ratio,0.06408912368767991,-0.11643834778552381,0.06408912368767991,0.11643834778552381
Return_3M,0.06218219550123308,-0.10113969177519315,0.06218219550123308,0.10113969177519315
Revenue_Growth,0.062021577671640266,-0.0063884410329146275,0.062021577671640266,0.0063884410329146275
Last_Close,0.058546236943099496,0.0025564182830009126,0.058546236943099496,0.0025564182830009126
Dividend_Yield,-0.05802347584830924,0.0037087294876207147,0.05802347584830924,0.0037087294876207147
PE_Ratio,0.05644573706721348,-0.1428146579560008,0.05644573706721348,0.1428146579560008
BB_PctB,0.056037387531552726,-0.10597887436427844,0.056037387531552726,0.10597887436427844
Profit_Margin,0.04510186028394192,-0.014998430265894674,0.04510186028394192,0.014998430265894674
Operating_Margin,0.04344522580970393,-0.012960512102048887,0.04344522580970393,0.012960512102048887
ROA,0.04268641304082027,0.04885452808306773,0.04268641304082027,0.04885452808306773
52W_High,0.03946918569058168,0.016805263291680077,0.03946918569058168,0.016805263291680077
Earnings_Growth,0.034902309842804145,-0.03367051650567842,0.034902309842804145,0.03367051650567842
Return_6M,0.03231541715723987,-0.0773902555427619,0.03231541715723987,0.0773902555427619
52W_Low,0.030763908510384918,0.08466758791757482,0.030763908510384918,0.08466758791757482
ATR_Pct,-0.024649299905036413,-0.04367300976827335,0.024649299905036413,0.04367300976827335
EPS,0.023620421176803824,0.04887097039488486,0.023620421176803824,0.04887097039488486
Volume_Ratio,0.019319061807370294,-0.04906817523149987,0.019319061807370294,0.04906817523149987
Volatility_20D,-0.017621258371016562,-0.06175519349992434,0.017621258371016562,0.06175519349992434
