,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing%
PE_Ratio,50.0,29.997506279999996,16.94610823151887,13.154229,22.29510475,25.6613025,32.41434625,99.94608,2.4970838740107304,7.1653276447947345,0.0
PB_Ratio,50.0,9.050939418183999,13.539346733331683,-25.344238,3.10301575,6.288886124999999,10.16265375,60.69216,1.2947439277275172,4.669945392797658,0.0
EV_EBITDA,50.0,18.4135,8.383925738322965,-2.125,13.6395,17.82,21.45925,52.973,1.4832132849791306,5.5288191659631885,0.0
EPS,50.0,9.1943,6.124626103539976,1.08,4.9625,7.1525,13.21,27.5,0.9518466335091733,0.4577168797480238,0.0
ROE,50.0,0.33849729692,0.32607916398219433,0.04901,0.1414625,0.245135,0.3413599825,1.5202099,2.3686173906972856,5.4788588798849,0.0
ROA,50.0,0.09476980031999999,0.05542547073680909,0.00927,0.051265001500000004,0.08571,0.12773,0.24377,0.8450690010793622,0.39007376462625576,0.0
Profit_Margin,50.0,0.19698020072,0.12998984739623687,0.02678,0.08965999625000001,0.179935,0.2907,0.55603004,0.7734156035781511,0.18286084843683037,0.0
Operating_Margin,50.0,0.26193380018,0.1576060484466496,0.036730003,0.1334125075,0.26138,0.358105,0.67346,0.6207370288013623,0.02105066664983468,0.0
Revenue_Growth,50.0,0.10001000000000002,0.08585051614550131,-0.082,0.053,0.08875,0.13375,0.426,1.1082530683497247,3.4797941013466156,0.0
Earnings_Growth,50.0,0.13245,0.380556362984727,-0.529,-0.106,0.10025,0.30275,1.6,1.4911856218351736,4.19620263664818,0.0
Debt_to_Equity,50.0,79.10946,62.88173299794542,7.255,39.60025,66.509,81.86125,257.387,1.8062728562755108,2.7654012830365744,0.0
Current_Ratio,50.0,1.3842499999999998,0.7501251613251358,0.542,0.9744999999999999,1.1465,1.491,4.456,2.4122511730378577,6.826052930894583,0.0
Quick_Ratio,50.0,0.9380299999999999,0.6102503702479459,0.106,0.65125,0.7705,1.07525,3.141,1.881077778900571,4.170774539121308,0.0
Free_Cash_Flow,50.0,11776625753.6,12809080288.801233,-18453374976.0,5053531264.0,9033812480.0,12678156544.0,58128998400.0,1.7747123857367344,5.016770213659786,0.0
Operating_Cash_Flow,50.0,24580878804.48,31296383387.67626,1694000000.0,10517999872.0,14813499904.0,18969500160.0,139514003456.0,2.813834008245621,7.258477821838866,0.0
Dividend_Yield,50.0,2.0242,1.1159458146453571,0.02,0.91,2.19,2.735,4.38,-0.02097095418048913,-0.9043885449050224,0.0
Market_Cap,50.0,576297027338.24,813281742739.4796,65736572928.0,160680697856.0,285906743296.0,526585856000.0,3966403870720.0,2.77134429764217,7.788403458678427,0.0
Total_Revenue,50.0,113011339100.16,115745256535.07347,18438000640.0,41500999680.0,65954750464.0,106662252544.0,449713012736.0,1.737384166695733,2.0130751939715914,0.0
Total_Debt,50.0,46615717396.48,34453549454.19227,6670000128.0,20868749824.0,43889999872.0,54947750912.0,178546999296.0,1.7094392282814328,3.963205462476016,0.0
Last_Close,50.0,238.49979904174805,141.20423237467688,44.38999938964844,132.62249755859375,209.51250076293945,331.8474884033203,669.1199951171875,0.9026695089753998,0.5029525960704642,0.0
52W_High,50.0,291.0149698832207,182.03226259422652,57.226487784651276,143.75926580366465,255.26000595092773,386.8023934721256,808.2248144461021,1.063411252598486,0.884658687234972,0.0
52W_Low,50.0,194.57897883738408,133.35843612867956,37.96605872048864,93.15893054066055,165.38980020115372,248.57867569195741,620.4646509007584,1.3069910164283491,1.4547570900907836,0.0
Price_SMA20_Ratio,50.0,1.010259379950549,0.0579720477827259,0.9023800794407706,0.969741141881263,1.006723296168806,1.0339014332159275,1.1705268308893235,0.744919433872662,0.8131941174157244,0.0
Price_SMA50_Ratio,50.0,1.0076379636271724,0.09281818166237044,0.8509061893390325,0.944394510067861,0.9907261061127202,1.0468938640283865,1.2685473586847633,0.8883618356694302,0.6999997089477485,0.0
Price_SMA200_Ratio,50.0,1.0155337491683185,0.15352430772584466,0.6702387868190065,0.9302792015377659,1.0072022386656267,1.130289778783229,1.4107497527003403,-0.13150184981298485,0.04477177115325848,0.0
Price_EMA12_Ratio,50.0,1.0032202850794645,0.03431198397791878,0.9436648423071133,0.9804793179686149,1.0025076351231705,1.0195871507714551,1.0960940492151798,0.6697034238661288,0.48981232911269146,0.0
Price_EMA26_Ratio,50.0,1.0071229877104124,0.05727091665035739,0.9113075297220987,0.9632305831378513,0.9998623584265942,1.032218835829915,1.1622856537451451,0.7628957050088231,0.46570978447406075,0.0
RSI,50.0,51.13586317305207,14.291260995743853,26.162845349066984,38.0097912786996,50.0242810609676,60.63761461199651,85.37182280693771,0.28871277092357095,-0.5033615651995533,0.0
MACD,50.0,1.1111953237158452,7.579746243116274,-20.67827224691962,-2.7327466472373345,-0.22321276509299182,2.4815205284696624,22.314308098749507,0.7891229180772846,2.280995434126935,0.0
MACD_Signal,50.0,0.368344254071977,5.578118408300569,-16.10687126180208,-2.6660022813856328,-0.2624994334528177,1.6421284291178266,15.840818580572389,0.5570973593077301,2.365056732313416,0.0
MACD_Hist,50.0,0.42685035725646786,1.647804617101564,-4.571400985117538,-0.35633922486891384,0.2794328406754031,1.0083365063356322,4.9776047734649715,0.31807762203706774,2.3316140205665707,0.0
BB_Bandwidth,50.0,0.13894247907133528,0.07843670693228015,0.03474669551581765,0.08503155429283427,0.11666195284992903,0.17617093443094567,0.38379491834290314,1.259025340691038,1.4961311310160115,0.0
BB_PctB,50.0,0.517342291569796,0.341705473442393,-0.10507753065703371,0.16952275761429908,0.5618282424543293,0.7354192161794086,1.332460213814457,0.028716014285967238,-0.5420316023479401,0.0
Volatility_20D,50.0,0.29918829309056705,0.10475226813934356,0.10598780341202854,0.22623335984840098,0.2824662342174268,0.3387005121472967,0.6114453633221489,0.8713361921371464,0.6479195690358357,0.0
Volatility_Full,50.0,0.2795090206972706,0.08098123747163205,0.1632319413744952,0.22930863364348703,0.26110178086269065,0.31750031450395616,0.5376837809571059,1.0807586182641276,1.240562055251222,0.0
Momentum_10D,50.0,-0.0004540634162347851,0.06288271757879178,-0.12903879319660594,-0.04517204741382427,0.010314531066190425,0.032175918400817655,0.18051267201060367,0.3851847125094119,1.2480644886570502,0.0
Return_1M,50.0,0.05657441220542411,0.14213358403777315,-0.13368466167902213,-0.03880476982682154,0.009446925252368173,0.11919905527428341,0.44415837284109044,1.1599083984187966,0.6316077809318994,0.0
Return_3M,50.0,-0.016900059605238094,0.1384088107310175,-0.3277792344861131,-0.13041616713861515,0.006563189747862335,0.07813032718326882,0.27073749252624757,-0.23746127206399864,-0.3788454070289977,0.0
Return_6M,50.0,0.019184232225007664,0.20955475037522722,-0.4190275010507872,-0.1345829848677237,0.017395758875265413,0.1548504533082197,0.6138123279786252,0.22961941902700858,0.1489788784068211,0.0
Return_12M,50.0,0.18425199225449046,0.3400645799989415,-0.3769894274798613,-0.024800266864228628,0.13589773340653066,0.3584801760225952,1.186373549435409,0.9110627260157578,1.400641690362428,0.0
Volume_Ratio,50.0,1.050524209180058,0.4263723210398311,0.45446811223112854,0.7483874097162473,1.0135081557876522,1.203353895217781,2.616724660247178,1.8360498184436544,4.905476280145493,0.0
ATR_Pct,50.0,0.02637954258914117,0.0067148640744368856,0.013023219739925884,0.02158970256066246,0.025978115848148034,0.029843652767602487,0.046251980040055325,0.7861486832892262,0.6899245584305538,0.0
Dist_52W_High,50.0,0.14718512566029987,0.12442196058357316,0.0,0.058099715644439595,0.1182779826637996,0.2066732870145056,0.5073553184241314,1.2030135732326694,0.9772650622624273,0.0
Dist_52W_Low,50.0,0.2931118101589787,0.24193998726155633,0.002194717257376163,0.12394475998939927,0.26122700185094905,0.3863257778335261,1.138071842044703,1.3047688046538466,2.269427108838233,0.0
OBV_Slope,50.0,2022476.915789468,5443763.024556392,-3950157.4436090225,-1162357.63157895,-23216.503759406478,2922403.5338345855,23929093.834586445,2.055239083848618,4.905005964209943,0.0
